Date,Region/City,Region/City-Eng,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
2020-01-26,Diamond Princess,Diamond Princess,3.0,0.0,0.0,3.0,0.0,0.0
2020-01-31,Тюменская область,Tyumen region,1.0,0.0,0.0,1.0,0.0,0.0
2020-01-31,Забайкальский край,Transbaikal region,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-12,Тюменская область,Tyumen region,0.0,0.0,1.0,1.0,0.0,1.0
2020-02-12,Забайкальский край,Transbaikal region,0.0,0.0,1.0,1.0,0.0,1.0
2020-02-03,Московская область,Moscow region,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-05,Санкт-Петербург,St. Petersburg,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-06,Москва,Moscow,5.0,0.0,0.0,5.0,0.0,0.0
2020-03-06,Нижегородская область,Nizhny Novgorod Region,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-06,Diamond Princess,Diamond Princess,0.0,0.0,3.0,3.0,0.0,3.0
2020-03-07,Москва,Moscow,0.0,0.0,1.0,5.0,0.0,1.0
2020-03-07,Санкт-Петербург,St. Petersburg,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-07,Липецкая область,Lipetsk region,3.0,0.0,0.0,3.0,0.0,0.0
2020-03-08,Московская область,Moscow region,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-08,Белгород,Belgorod,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-08,Калининградская область,Kaliningrad region,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-09,Москва,Moscow,3.0,0.0,0.0,8.0,0.0,1.0
2020-03-11,Москва,Moscow,6.0,0.0,0.0,14.0,0.0,1.0
2020-03-11,Московская область,Moscow region,2.0,0.0,0.0,4.0,0.0,0.0
2020-03-12,Москва,Moscow,4.0,0.0,0.0,18.0,0.0,1.0
2020-03-12,Калининградская область,Kaliningrad region,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-12,Краснодарский край,Krasnodar region,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Москва,Moscow,5.0,0.0,0.0,23.0,0.0,1.0
2020-03-13,Московская область,Moscow region,1.0,0.0,0.0,5.0,0.0,0.0
2020-03-13,Санкт-Петербург,St. Petersburg,3.0,0.0,0.0,5.0,0.0,0.0
